Peak,strength,TCF1,TCF1-0,CTCF,CTCF-1,Elf4,Elf4-2,TSS,CTCF-2,Elf4-1,CTCF-0,Elf4-0,CTCF-3,Elf4-3,TCF1-1,TCF1-2,TCF1-3
MACS_peak_16559,39.47,2,0.0,2,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_1656,29.06,0,1.0,4,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16560,5.85,1,0.0,2,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16561,32.25,3,0.0,1,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
MACS_peak_16562,81.97,1,0.0,12,0.0,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
MACS_peak_16563,23.07,1,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16564,11.21,2,0.0,2,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16565,8.44,0,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16566,18.50,0,1.0,2,0.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16567,13.95,2,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16568,4.79,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16569,30.32,1,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_1657,26.14,1,0.0,3,0.0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16570,7.33,1,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16571,5.86,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16572,5.04,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16573,11.99,0,1.0,1,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16574,14.63,0,1.0,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16575,6.17,0,1.0,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16576,18.30,0,1.0,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16577,20.54,2,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16578,10.22,0,1.0,4,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16579,14.66,1,0.0,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_1658,16.80,0,1.0,2,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16580,8.41,0,1.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16581,5.52,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16582,14.96,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16583,9.25,1,0.0,3,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16584,5.52,0,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16585,9.32,0,1.0,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16586,9.27,1,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16587,3.56,0,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16588,14.35,0,1.0,5,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16589,8.28,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_1659,7.66,0,1.0,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16590,45.02,0,1.0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16591,23.03,0,1.0,5,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MACS_peak_16592,14.21,1,0.0,2,0.0,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16593,9.32,0,1.0,2,0.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16594,20.93,2,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MACS_peak_16595,9.02,1,0.0,0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MACS_peak_16596,10.16,0,1.0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MACS_peak_16597,7.53,0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
